Example,Setting,DataSize,ControlSize,Rows,Columns,Rank,KappaEff,ClassicalKappa
Ex.~4.1,full curve,15001,3001,15001,3001,3001,4.71915367499431,4.71915367499431
Ex.~4.2,full curve,10001,2001,10001,2001,2001,4.72285705767056,4.72285705767056
Ex.~4.3,full curve,1000,288,1000,288,288,10.6065222380724,10.6065222380724
Ex.~4.4,full surface,81 x 81,31 x 31,6561,961,961,21.161859387595,21.161859387595
Ex.~4.5,full surface,121 x 121,41 x 41,14641,1681,1681,21.220865931605,21.220865931605
Ex.~4.6,full surface,860 x 600,121 x 121,516000,14641,14641,22.2401459218244,22.2401459218244
Ex.~4.1,missing curve,267,101,267,101,96,647917.715420031,Inf
Ex.~4.2,missing curve,458,201,458,201,189,102853354.436086,Inf
Ex.~4.7,missing curve,206,101,206,101,90,12215.0681731962,Inf
Ex.~4.8,missing surface,8627,1681,8627,1681,1639,1977196147.80906,Inf
