Example,DataPoints,ControlPoints,Kappa,Method,IT,CPU_mean,CPU_std,E_inf,RMSResidual,MaxPointwiseError,FittingError
1,15001,3001,22.2704114082122,LSPIA,77,3.6010785186,0.0761292587963708,9.33605136405813e-07,1.07267868856554e-05,2.55214059004513e-05,1.72607441731093e-06
1,15001,3001,22.2704114082122,ALSPIA,6,0.265657295,0.00335308888649831,9.41541628718697e-07,2.38287871349916e-05,0.00108101995849113,8.51773425596756e-06
1,15001,3001,22.2704114082122,MLSPIA,25,1.6998685514,0.00482213945654237,7.33805412833744e-07,9.50986554188564e-06,2.28765061115096e-05,1.35665357691378e-06
1,15001,3001,22.2704114082122,NmLSPIA,5,0.4477551718,0.00741246800327551,9.73949371310295e-07,1.76323654461103e-05,0.000529844797551204,4.66381556868907e-06
1,15001,3001,22.2704114082122,SaLSPIA,4,0.211339093,0.0040730484702858,8.16360233150465e-07,2.27945222014859e-05,0.00113477620656035,7.79437322615289e-06
2,10001,2001,22.3053787871886,LSPIA,77,1.5079756104,0.0112130477143222,9.64617103308716e-07,2.0844051370247e-05,3.83639686412089e-05,4.34517924973249e-06
2,10001,2001,22.3053787871886,ALSPIA,7,0.1288694846,0.00441075315281747,6.29213535558801e-07,3.85874734345012e-05,0.00150267312482429,1.48914200536894e-05
2,10001,2001,22.3053787871886,MLSPIA,25,0.7372963096,0.0159423677842511,7.7364256708444e-07,1.86668167374574e-05,3.48213334088783e-05,3.4848489211453e-06
2,10001,2001,22.3053787871886,NmLSPIA,6,0.2311803196,0.0044878222012496,3.59512497585852e-07,2.23524212158835e-05,0.000539979172567421,4.99680697285701e-06
2,10001,2001,22.3053787871886,SaLSPIA,4,0.0900559664,0.00251884861076441,9.15484523448564e-07,4.61469317988235e-05,0.00187458793762522,2.12975226837672e-05
3,1000,288,112.498313986723,LSPIA,180,0.008289153,0.00130430883090221,9.89069075441297e-07,0.00104450728321325,0.00623092437854732,0.00109099546468552
3,1000,288,112.498313986723,ALSPIA,125,0.0060591078,0.000944682494724127,9.98259713840247e-07,0.00104811436567623,0.00626432444379119,0.00109854372353689
3,1000,288,112.498313986723,MLSPIA,41,0.0035143228,0.000254890049563925,8.15348762861697e-07,0.00104449541470055,0.00622644064219851,0.00109097067133048
3,1000,288,112.498313986723,NmLSPIA,31,0.003714265,0.000523260962329983,9.41265053203102e-07,0.00104560483531244,0.00624182429797506,0.00109328947162876
3,1000,288,112.498313986723,SaLSPIA,22,0.0022648206,0.000362993476658052,9.00489789100279e-07,0.00104764261298321,0.00625462958753351,0.00109755504453828
