Case,Sweep,Value,DataPoints,ControlPoints,Rank,Sigma,M,Delta,IT,CPU,E_inf,FittingError,TotalHalving,Status
Curve_Ex4_3,sigma,0.5,1000,288,288,0.5,10,1e-08,22,0.003979062,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,sigma,0.1,1000,288,288,0.1,10,1e-08,22,0.002129244,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,sigma,0.01,1000,288,288,0.01,10,1e-08,22,0.002203047,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,sigma,0.0001,1000,288,288,0.0001,10,1e-08,22,0.002526046,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,sigma,1e-06,1000,288,288,1e-06,10,1e-08,22,0.002037877,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,delta,1e-10,1000,288,288,0.0001,10,1e-10,22,0.002117643,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,delta,1e-08,1000,288,288,0.0001,10,1e-08,22,0.002218488,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,delta,1e-06,1000,288,288,0.0001,10,1e-06,22,0.002226257,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,delta,0.0001,1000,288,288,0.0001,10,0.0001,22,0.002413382,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,delta,0.01,1000,288,288,0.0001,10,0.01,22,0.00208116,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,M,1,1000,288,288,0.0001,1,1e-08,28,0.002760057,2.44323317082761e-07,0.00109301248703439,12,converged
Curve_Ex4_3,M,3,1000,288,288,0.0001,3,1e-08,25,0.002356419,4.58992303837698e-07,0.0010947014531654,6,converged
Curve_Ex4_3,M,5,1000,288,288,0.0001,5,1e-08,24,0.002919655,3.43010974798787e-07,0.00109355924986392,6,converged
Curve_Ex4_3,M,10,1000,288,288,0.0001,10,1e-08,22,0.001794196,9.00489789101377e-07,0.00109755504453829,1,converged
Curve_Ex4_3,M,20,1000,288,288,0.0001,20,1e-08,22,0.001965229,8.06289298023164e-07,0.001095968702731,0,converged
Missing_Gloop,sigma,0.5,206,101,90,0.5,10,1e-08,23,0.000859413,6.00470341161966e-07,0.000161001491644574,1,converged
Missing_Gloop,sigma,0.1,206,101,90,0.1,10,1e-08,17,0.000666255,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,sigma,0.01,206,101,90,0.01,10,1e-08,17,0.000591397,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,sigma,0.0001,206,101,90,0.0001,10,1e-08,17,0.000646807,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,sigma,1e-06,206,101,90,1e-06,10,1e-08,17,0.000545197,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,delta,1e-10,206,101,90,0.0001,10,1e-10,17,0.000596429,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,delta,1e-08,206,101,90,0.0001,10,1e-08,17,0.000566695,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,delta,1e-06,206,101,90,0.0001,10,1e-06,17,0.000566787,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,delta,0.0001,206,101,90,0.0001,10,0.0001,17,0.000563413,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,delta,0.01,206,101,90,0.0001,10,0.01,17,0.000695578,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,M,1,206,101,90,0.0001,1,1e-08,18,0.000602788,8.50384291332646e-07,0.000167200007393164,7,converged
Missing_Gloop,M,3,206,101,90,0.0001,3,1e-08,20,0.000667125,6.3990937551802e-07,0.00016565833615954,5,converged
Missing_Gloop,M,5,206,101,90,0.0001,5,1e-08,20,0.000748903,5.57746769841516e-07,0.000162014322636085,4,converged
Missing_Gloop,M,10,206,101,90,0.0001,10,1e-08,17,0.000669045,9.42337778346311e-07,0.000169536730282174,0,converged
Missing_Gloop,M,20,206,101,90,0.0001,20,1e-08,17,0.000566509,9.42337778346311e-07,0.000169536730282174,0,converged
