Example,DataU,DataV,CtrlU,CtrlV,Method,IT,CPU_mean,CPU_std,E_inf,RMSResidual,MaxPointwiseError,FittingError
4,81,81,31,31,LSPIA,213,0.0601121358,0.00262494422209591,9.7561677991821e-07,0.000338305169934169,0.000972792330209681,0.000750908995695468
4,81,81,31,31,ALSPIA,37,0.0098946466,0.000410869758659359,9.18826248292781e-07,0.0012734261992506,0.0232283688464656,0.0106394113234771
4,81,81,31,31,MLSPIA,82,0.0148822104,0.000735356502224806,6.92178852051948e-07,0.000310950267037429,0.00101037345934544,0.000634383539892023
4,81,81,31,31,NmLSPIA,30,0.0067260474,0.000682459403780401,8.66423146618829e-07,0.00095070710444225,0.00470690057627902,0.00593012047374494
4,81,81,31,31,SaLSPIA,14,0.0031935962,0.000565326832334359,3.37118310760412e-07,0.000624608582243585,0.0123112943747123,0.00255968151532197
5,121,121,41,41,LSPIA,1091,0.5386057736,0.0201517918749439,9.94225822098701e-07,0.000340750945245158,0.00189229878109565,0.00169998417708195
5,121,121,41,41,ALSPIA,15,0.0089421422,0.00191962850315099,8.70123028583379e-07,0.000783200033587332,0.0112768803546655,0.00898082296612054
5,121,121,41,41,MLSPIA,109,0.0366249708,0.00222484245476656,8.3936300611567e-07,0.000324762082137608,0.00186245542360232,0.00154419227272734
5,121,121,41,41,NmLSPIA,17,0.0063442334,0.000396876005920363,8.72229799773497e-07,0.000644560174060984,0.0051824035116333,0.00608271791312608
5,121,121,41,41,SaLSPIA,8,0.0032092382,0.000998718633288275,5.73149092379171e-07,0.000582651999165781,0.00798318886495683,0.00497037575856288
