Example,Type,Method,ObservedPoints,RemovedPoints,ControlPoints,Rank,Converged,IT,CPU_mean,CPU_std,E_inf,HoleRMS,HoleMax
Ex.~4.1,curve,LSPIA,267,64,101,96,0,10000,NaN,NaN,NaN,NaN,NaN
Ex.~4.1,curve,LSPIA-Lin2018,267,64,101,96,1,18,0.0004613916,4.32219773645306e-05,9.34939719089867e-07,0.0727257129122621,0.180662796246296
Ex.~4.1,curve,ALSPIA,267,64,101,96,1,38,0.0010825906,0.000195548090091159,9.62379277040103e-07,0.118776245136845,0.227152676088185
Ex.~4.1,curve,SaLSPIA,267,64,101,96,1,14,0.0005088646,3.79746673889318e-05,4.40178281967554e-07,0.115359966164121,0.220190801020364
Ex.~4.2,curve,LSPIA,458,63,201,189,0,10000,NaN,NaN,NaN,NaN,NaN
Ex.~4.2,curve,LSPIA-Lin2018,458,63,201,189,1,26,0.0012281492,0.000302053934693293,8.70451183809684e-07,0.482863635809083,1.1494195150835
Ex.~4.2,curve,ALSPIA,458,63,201,189,1,32,0.0009265786,0.000121674751823458,9.06365803999013e-07,0.648788033842554,1.1976599297661
Ex.~4.2,curve,SaLSPIA,458,63,201,189,1,14,0.0007041202,5.83663409997578e-05,7.51162823104751e-07,0.642355291634937,1.19587509966065
Ex.~4.7,curve,LSPIA,206,63,101,90,0,10000,NaN,NaN,NaN,NaN,NaN
Ex.~4.7,curve,LSPIA-Lin2018,206,63,101,90,1,32,0.0006135534,5.28803866835332e-05,9.85164173927394e-07,0.0171087530526402,0.0420941588714828
Ex.~4.7,curve,ALSPIA,206,63,101,90,1,73,0.0013620362,0.000211819281796299,9.87181011206769e-07,0.0189201729124832,0.0414619968059929
Ex.~4.7,curve,SaLSPIA,206,63,101,90,1,17,0.000485508,7.7581023904045e-05,9.42337778346753e-07,0.0189388601778812,0.0414619153939225
Ex.~4.8,surface,LSPIA,8627,1574,1681,1639,0,10000,NaN,NaN,NaN,NaN,NaN
Ex.~4.8,surface,LSPIA-Lin2018,8627,1574,1681,1639,1,40,0.4817866658,0.00507886858294466,9.33548341348337e-07,0.0205930202907844,0.0808547876521296
Ex.~4.8,surface,ALSPIA,8627,1574,1681,1639,1,53,0.6437462888,0.00736880272605996,9.84560301791795e-07,0.0297997857501494,0.0844077283904297
Ex.~4.8,surface,SaLSPIA,8627,1574,1681,1639,1,14,0.2478258118,0.00370923638212047,7.60619880934429e-07,0.0297259010999714,0.0844073925042035
